Class,File,Duration (s),Sample Rate,Channels
Belly or Physical pain,D1_Belly_or_Physical_pain_0028.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0029.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0030.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0031.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0032.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0033.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0034.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0035.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0036.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0037.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0038.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0039.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0040.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0041.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0042.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0043.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0044.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0045.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0046.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0047.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0048.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0049.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0050.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0051.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0052.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0053.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0054.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0055.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0056.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0057.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0058.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0059.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0060.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0061.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0062.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0063.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0064.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0065.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0066.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0067.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0068.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0069.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0070.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0071.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0072.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0073.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0074.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0075.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0076.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0077.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0078.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0079.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0080.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0081.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0082.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0083.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0084.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0085.wav,5.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0086.wav,6.86,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0087.wav,6.94,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0088.wav,6.96,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0089.wav,6.92,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0090.wav,6.96,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0091.wav,6.94,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0092.wav,7.04,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0093.wav,6.88,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0094.wav,6.92,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0095.wav,6.9,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0096.wav,6.9,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0097.wav,6.92,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0098.wav,7.02,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0099.wav,6.86,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0100.wav,6.92,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0101.wav,6.92,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0102.wav,6.94,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0103.wav,6.88,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0104.wav,6.9,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0105.wav,6.9,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0106.wav,6.96,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0107.wav,6.96,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0108.wav,6.52,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0109.wav,6.86,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0110.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0111.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0112.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0113.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0114.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0115.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0116.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0117.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0118.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0119.wav,6.9,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0121.wav,7.0,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0122.wav,6.82,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0123.wav,6.84,16000,1
Belly or Physical pain,D1_Belly_or_Physical_pain_0124.wav,6.84,16000,1
Belly or Physical pain,D2_Belly_or_Physical_pain_0125.wav,6.86,16000,1
Belly or Physical pain,D2_Belly_or_Physical_pain_0126.wav,6.9,16000,1
Belly or Physical pain,D2_Belly_or_Physical_pain_0127.wav,6.96,16000,1
Belly or Physical pain,D2_Belly_or_Physical_pain_0128.wav,6.82,16000,1
Belly or Physical pain,D2_Belly_or_Physical_pain_0129.wav,6.84,16000,1
Belly or Physical pain,D2_Belly_or_Physical_pain_0130.wav,6.84,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0131.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0132.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0133.wav,4.89,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0134.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0135.wav,3.36,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0136.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0137.wav,2.34,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0138.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0139.wav,3.45,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0140.wav,3.27,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0141.wav,3.75,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0142.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0143.wav,3.15,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0144.wav,1.41,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0145.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0146.wav,4.98,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0147.wav,3.24,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0148.wav,3.15,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0149.wav,3.51,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0150.wav,3.57,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0151.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0152.wav,1.38,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0153.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0154.wav,3.39,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0155.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0156.wav,3.42,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0157.wav,1.41,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0158.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0159.wav,3.9,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0160.wav,3.27,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0161.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0162.wav,3.33,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0163.wav,3.24,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0164.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0165.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0166.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0167.wav,6.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0168.wav,2.76,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0169.wav,6.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0170.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0171.wav,4.98,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0172.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0173.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0174.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0175.wav,3.51,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0176.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0177.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0178.wav,3.39,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0179.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0180.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0181.wav,3.72,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0182.wav,6.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0183.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0184.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0185.wav,1.29,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0186.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0187.wav,6.27,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0188.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0189.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0190.wav,4.86,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0191.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0192.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0193.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0194.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0195.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0196.wav,3.69,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0197.wav,3.45,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0198.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0199.wav,2.94,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0200.wav,3.27,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0201.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0202.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0203.wav,1.41,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0204.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0205.wav,2.82,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0206.wav,4.98,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0207.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0208.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0209.wav,6.9,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0210.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0211.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0212.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0213.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0214.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0215.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0216.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0217.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0218.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0219.wav,3.36,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0220.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0221.wav,4.98,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0222.wav,3.39,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0223.wav,3.36,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0224.wav,3.27,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0225.wav,3.21,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0226.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0227.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0228.wav,3.24,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0229.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0230.wav,3.27,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0231.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0232.wav,1.41,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0233.wav,1.29,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0234.wav,3.39,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0235.wav,4.98,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0236.wav,3.78,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0237.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0238.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0239.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0240.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0241.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0242.wav,3.78,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0243.wav,4.98,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0244.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0245.wav,3.39,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0246.wav,3.6,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0247.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0248.wav,4.98,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0249.wav,1.29,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0250.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0251.wav,3.09,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0252.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0253.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0254.wav,6.81,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0255.wav,1.41,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0256.wav,3.24,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0257.wav,1.59,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0258.wav,1.29,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0259.wav,1.38,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0260.wav,1.41,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0261.wav,4.98,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0262.wav,1.29,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0263.wav,3.48,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0264.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0265.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0266.wav,6.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0267.wav,3.33,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0268.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0269.wav,4.98,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0270.wav,3.39,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0271.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0272.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0273.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0274.wav,3.66,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0275.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0276.wav,1.29,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0277.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0278.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0279.wav,6.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0280.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0281.wav,3.66,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0282.wav,1.56,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0283.wav,3.42,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0284.wav,1.44,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0285.wav,3.96,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0286.wav,4.98,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0287.wav,3.33,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0288.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0289.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0290.wav,4.98,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0291.wav,6.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0292.wav,3.39,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0293.wav,6.9,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0294.wav,3.33,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0295.wav,3.3,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0296.wav,1.29,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0297.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0298.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0299.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0300.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0301.wav,4.98,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0302.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0303.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0304.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0305.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0306.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0307.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0308.wav,3.42,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0309.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0310.wav,1.38,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0311.wav,3.69,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0312.wav,3.36,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0313.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0314.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0315.wav,3.78,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0316.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0317.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0318.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0319.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0320.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0321.wav,3.33,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0322.wav,4.98,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0323.wav,3.39,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0324.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0325.wav,3.69,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0326.wav,6.96,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0327.wav,3.36,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0328.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0329.wav,3.36,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0330.wav,1.5,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0331.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0332.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0333.wav,3.39,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0334.wav,3.33,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0335.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0336.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0337.wav,3.72,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0338.wav,1.35,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0339.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0340.wav,3.99,16000,1
Belly or Physical pain,D3_Belly_or_Physical_pain_0341.wav,3.99,16000,1
